week_date,week_count,sui1,sui2,sui3,neg,pos,pre
2007-06-10,14,0,0,56,0.849,1.477,14
2007-06-17,13,0,0,32,0.847,1.316,13
2007-06-24,5,0,0,85,0.828,0.961,5
2007-07-01,14,36,0,91,1.146,0.913,14
2007-07-08,13,0,0,0,1.424,1.081,13
2007-07-15,12,46,78,47,1.421,0.993,12
2007-07-22,10,47,0,26,1.067,0.519,10
2007-07-29,17,38,0,25,1.249,1.375,17
2007-08-05,14,47,100,69,0.604,0.748,14
2007-08-12,12,25,0,38,1.24,1.011,12
2007-08-19,7,58,0,25,0.547,1.066,7
2007-08-26,10,52,0,69,1.031,0.719,10
2007-09-02,7,46,0,25,1.425,1.465,7
2007-09-09,9,38,0,49,1.009,1.45,9
2007-09-16,13,0,0,27,0.962,1.28,13
2007-09-23,16,30,0,32,0.512,1.179,16
2007-09-30,21,52,89,79,0.601,1.403,21
2007-10-07,12,35,0,25,0.539,1.253,12
2007-10-14,18,58,80,91,1.374,1.196,18
2007-10-21,8,52,0,0,1.155,1.467,8
2007-10-28,7,46,78,0,0.623,1.247,7
2007-11-04,5,30,0,36,0.786,0.68,5
2007-11-11,10,50,78,0,0.867,0.78,10
2007-11-18,10,35,100,26,0.881,1.442,10
2007-11-25,11,46,100,29,0.851,0.786,11
2007-12-02,17,0,0,56,0.52,1.264,17
2007-12-09,11,47,0,61,1.348,1.08,11
2007-12-16,6,69,86,25,0.763,1.403,6
2007-12-23,12,38,0,41,0.84,1.349,12
2007-12-30,11,0,0,27,1.13,1.402,11
2008-01-06,14,48,0,25,1.144,1.038,14
2008-01-13,13,0,100,69,0.596,0.672,13
2008-01-20,7,48,100,41,1.214,1.49,7
2008-01-27,7,34,0,0,1.072,0.878,7
2008-02-03,9,51,0,91,1.145,1.023,9
2008-02-10,7,25,100,0,1.473,0.671,7
2008-02-17,13,26,0,32,1.18,0.607,13
2008-02-24,18,24,0,25,1.123,1.047,18
2008-03-02,13,27,0,42,0.639,0.788,13
2008-03-09,8,26,0,32,0.913,0.663,8
2008-03-16,14,26,78,28,0.826,1.19,14
2008-03-23,16,24,0,32,1.368,1.176,16
2008-03-30,16,0,0,25,0.861,0.603,16
2008-04-06,12,0,0,42,0.705,0.592,12
2008-04-13,22,30,0,25,1.427,0.779,22
2008-04-20,14,0,100,30,0.826,0.788,14
2008-04-27,15,100,100,25,1.406,0.797,15
2008-05-04,14,0,0,41,1.267,1.238,14
2008-05-11,6,28,0,56,0.719,1.402,6
2008-05-18,12,69,0,42,0.529,0.616,12
2008-05-25,6,46,100,69,1.284,1.099,6
2008-06-01,13,0,100,27,1.161,1.24,13
2008-06-08,7,36,0,50,1.473,1.491,7
2008-06-15,20,47,0,28,1.154,0.657,20
2008-06-22,17,52,0,41,0.632,1.201,17
2008-06-29,12,38,0,29,1.191,0.732,12
