week_date,week_count,sui1,sui2,sui3,neg,pos,pre
2015-05-31,20,28,0,41,0.526,0.588,20
2015-06-07,12,26,0,61,1.482,0.77,12
2015-06-14,12,38,86,91,1.061,1.147,12
2015-06-21,13,25,0,49,0.534,0.76,13
2015-06-28,10,0,0,25,1.076,1.358,10
2015-07-05,14,26,80,25,0.614,0.571,14
2015-07-12,10,39,0,32,0.516,0.977,10
2015-07-19,11,24,0,61,1.002,1.219,11
2015-07-26,10,0,92,49,0.58,0.683,10
2015-08-02,6,35,86,41,1.32,0.953,6
2015-08-09,10,25,100,32,0.929,1.096,10
2015-08-16,9,38,0,61,1.015,1.458,9
2015-08-23,13,35,0,61,1.307,0.571,13
2015-08-30,13,46,0,61,0.821,0.763,13
2015-09-06,8,28,96,28,0.64,0.629,8
2015-09-13,13,24,100,25,1.066,1.199,13
2015-09-20,11,48,80,0,1.332,1.444,11
2015-09-27,16,48,86,32,1.317,0.973,16
2015-10-04,17,25,78,29,0.554,0.836,17
2015-10-11,12,25,78,32,1.24,1.082,12
2015-10-18,10,24,100,32,1.268,1.345,10
2015-10-25,15,47,0,0,0.647,1.268,15
2015-11-01,9,39,80,61,1.051,1.116,9
2015-11-08,15,26,96,61,0.584,1.475,15
2015-11-15,18,25,0,32,0.985,1.03,18
2015-11-22,10,47,0,27,1.19,0.774,10
2015-11-29,10,25,100,61,0.917,0.822,10
2015-12-06,9,46,0,69,0.869,1.275,9
2015-12-13,8,24,89,41,0.96,0.577,8
2015-12-20,11,38,0,42,1.354,0.596,11
2015-12-27,9,27,0,26,1.018,0.651,9
2016-01-03,,,,,,,10
